video_id,title,thumbnail_url,post_time,view_count
fQYvvorBTvU,Arjuna JEE Vs Arjuna NEET Rivalry is Back 🔥😎 #PW #Shorts #ArjunaBatch,https://i.ytimg.com/vi/fQYvvorBTvU/hqdefault.jpg,2024-06-15T02:30:20Z,1863
6qKnuxWBHxw,Arjuna JEE Vs Arjuna NEET Maha Sangram 🔥🔥 #PW #Shorts #ArjunaBatch,https://i.ytimg.com/vi/6qKnuxWBHxw/hqdefault.jpg,2024-06-14T15:30:02Z,5701
sHYuGAztlo4,क्या आपको भी इंतज़ार है UDAAN Batch Start होने का ⁉ #PW #Shorts #Udaan2025,https://i.ytimg.com/vi/sHYuGAztlo4/hqdefault.jpg,2024-06-14T13:30:33Z,3121
I1OdqS8zyCU,GYAAN ka महा - संग्राम 🔥 Arjuna JEE VS Arjuna NEET | Who will WIN?,https://i.ytimg.com/vi/I1OdqS8zyCU/hqdefault_live.jpg,2024-06-14T13:09:57Z,0
5d1mZAVs0pE,UDAAN 2.0 & NEEV 2.0 Live Orientation Session For Class 10th & 9th Students 🎯,https://i.ytimg.com/vi/5d1mZAVs0pE/hqdefault_live.jpg,2024-06-14T12:48:50Z,0
